No. ; Fila ; Columna ; Caracter ;Descripcion
1;<;1;1;Token_apertura;
2;>;1;6;Token_cierre;
3;ruta;1;2;Token_ID;
4;<;2;5;Token_apertura;
5;>;2;12;Token_cierre;
6;nombre;2;6;Token_ID;
7;<;4;5;Token_cierre;
8;ruta_central;4;-7;Token_ruta;
9;/;4;6;Token_Barra;
10;>;4;13;Token_cierre;
11;nombre;4;7;Token_ID;
12;<;5;5;Token_apertura;
13;>;5;10;Token_cierre;
14;peso;5;6;Token_ID;
15;2.5;5;11;Token_peso;
16;<;5;14;Token_cierre;
17;/;5;15;Token_Barra;
18;>;5;20;Token_cierre;
19;peso;5;16;Token_ID;
20;<;6;5;Token_apertura;
21;>;6;12;Token_cierre;
22;inicio;6;6;Token_ID;
23;<;8;5;Token_cierre;
24;estacioNzona1;8;-8;Token_ruta;
25;/;8;6;Token_Barra;
26;>;8;13;Token_cierre;
27;inicio;8;7;Token_ID;
28;<;9;5;Token_apertura;
29;>;9;9;Token_cierre;
30;fin;9;6;Token_ID;
31;<;11;5;Token_cierre;
32;estacionZonA6;11;-8;Token_ruta;
33;/;11;6;Token_Barra;
34;>;11;10;Token_cierre;
35;fin;11;7;Token_ID;
36;<;12;1;Token_apertura;
37;/;12;2;Token_Barra;
38;>;12;7;Token_cierre;
39;ruta;12;3;Token_ID;
40;<;14;1;Token_apertura;
41;>;14;10;Token_cierre;
42;estacIon;14;2;Token_ID;
43;<;15;5;Token_apertura;
44;>;15;12;Token_cierre;
45;nombre;15;6;Token_ID;
46;<;15;26;Token_cierre;
47;EstacionZona6;15;13;Token_estacion;
48;/;15;27;Token_Barra;
49;>;15;34;Token_cierre;
50;nombre;15;28;Token_ID;
51;<;16;5;Token_apertura;
52;>;16;12;Token_cierre;
53;estado;16;6;Token_ID;
54;<;16;23;Token_cierre;
55;disponible;16;13;Token_estado;
56;/;16;24;Token_Barra;
57;>;16;31;Token_cierre;
58;estado;16;25;Token_ID;
59;<;17;5;Token_apertura;
60;>;17;11;Token_cierre;
61;color;17;6;Token_ID;
62;<;17;19;Token_cierre;
63;#1A5AAF;17;12;Token_color;
64;/;17;20;Token_Barra;
65;>;17;26;Token_cierre;
66;color;17;21;Token_ID;
67;<;18;1;Token_apertura;
68;/;18;2;Token_Barra;
69;>;18;11;Token_cierre;
70;estacion;18;3;Token_ID;
71;<;20;1;Token_apertura;
72;>;20;10;Token_cierre;
73;estacIon;20;2;Token_ID;
74;<;21;5;Token_apertura;
75;>;21;11;Token_cierre;
76;color;21;6;Token_ID;
77;<;21;19;Token_cierre;
78;#AF5B1A;21;12;Token_color;
79;/;21;20;Token_Barra;
80;>;21;26;Token_cierre;
81;color;21;21;Token_ID;
82;<;22;5;Token_apertura;
83;>;22;12;Token_cierre;
84;nombre;22;6;Token_ID;
85;<;23;22;Token_cierre;
86;EstacionZona2;23;9;Token_estacion;
87;/;23;23;Token_Barra;
88;>;23;30;Token_cierre;
89;nombre;23;24;Token_ID;
90;<;24;5;Token_apertura;
91;>;24;12;Token_cierre;
92;estado;24;6;Token_ID;
93;<;24;23;Token_cierre;
94;disponible;24;13;Token_estado;
95;/;24;24;Token_Barra;
96;>;24;31;Token_cierre;
97;estado;24;25;Token_ID;
98;<;25;1;Token_apertura;
99;/;25;2;Token_Barra;
100;>;25;11;Token_cierre;
101;estacion;25;3;Token_ID;
102;<;27;1;Token_apertura;
103;>;27;10;Token_cierre;
104;estacIon;27;2;Token_ID;
105;<;28;5;Token_apertura;
106;>;28;12;Token_cierre;
107;nombre;28;6;Token_ID;
108;<;28;26;Token_cierre;
109;EstacionZona1;28;13;Token_estacion;
110;/;28;27;Token_Barra;
111;>;28;34;Token_cierre;
112;nombre;28;28;Token_ID;
113;<;29;5;Token_apertura;
114;>;29;11;Token_cierre;
115;color;29;6;Token_ID;
116;<;29;19;Token_cierre;
117;#E52E22;29;12;Token_color;
118;/;29;20;Token_Barra;
119;>;29;26;Token_cierre;
120;color;29;21;Token_ID;
121;<;30;5;Token_apertura;
122;>;30;12;Token_cierre;
123;estado;30;6;Token_ID;
124;<;30;23;Token_cierre;
125;disponible;30;13;Token_estado;
126;/;30;24;Token_Barra;
